simtype;resp_var_type;stratum;var;MP_A;MP_LED;IP_A;IP_LED;vi_mean
LT;abs;UM;Intensity;44.87967028345338;44.75863468445598;28.901617566545564;26.92871984025795;36.37967028345338
LT;abs;UM;Interval;34.165689217961926;34.48456368962859;27.94338697423508;30.382900834351634;32.665689217961926
LT;abs;UM;Type;14.893104148225676;13.258199013912431;40.32865935645926;39.18684974264493;26.893104148225675
LT;abs;UM;Qsite;6.061536350359029;7.498602612003007;2.8263361027601066;3.5015295827454787;5.061536350359029
LT;abs;HM;Type;60.39305596063468;49.32000828173021;51.460136648599814;32.02232230416606;46.39305596063468
LT;abs;HM;Interval;21.227760558191573;34.896217788080186;21.57608527096963;31.9004475953466;26.227760558191573
LT;abs;HM;Intensity;9.096417778383207;9.272586075631931;18.40811973786135;25.451366523018162;17.096417778383206
LT;abs;HM;Qsite;9.282765702790543;6.511187854557676;8.555658342569206;10.625863577469167;9.782765702790543
LT;abs;SA;Type;26.552680172921608;37.04045126446815;42.18185342787816;42.16261001937615;34.05268017292161
LT;abs;SA;Interval;28.60196175021015;23.36124368436272;31.485373857354265;31.323017536978753;29.60196175021015
LT;abs;SA;Intensity;18.35723912783402;16.69985927681562;23.11939498136129;23.18163348461931;20.35723912783402
LT;abs;SA;Qsite;26.488118949034224;22.898445774353505;3.213377733406289;3.3327389590257814;14.988118949034224
LT;diff;UM;Intensity;42.44327352915339;39.11933133674532;26.390691739846712;24.435978851559593;33.44327352915339
LT;diff;UM;Interval;32.12536051129168;34.94575929868191;24.982407486060605;28.548178561825857;30.62536051129168
LT;diff;UM;Type;13.54499257241716;12.3100160029406;38.02962848737675;36.07081830616704;24.544992572417158
LT;diff;UM;Qsite;11.886373387137773;13.624893361632186;10.59727228671593;10.945024280447514;11.886373387137773
LT;diff;HM;Type;59.93272385308041;41.20147765973853;33.37116066403158;32.28499552834306;46.43272385308041
LT;diff;HM;Interval;21.277308580957467;29.779216272750745;12.087330033632824;32.10180870033432;26.277308580957467
LT;diff;HM;Intensity;8.145432937568213;7.514201960805913;10.894398639803581;25.66523062082603;16.645432937568213
LT;diff;HM;Qsite;10.644534628393906;21.50510410670481;43.64711066253201;9.947965150496598;10.644534628393906
LT;diff;SA;Qsite;26.488118949034273;66.53933772265744;32.85114505775317;32.95357381831576;29.488118949034273
LT;diff;SA;Type;26.552680172921562;15.224681041449813;29.88879335388585;29.546079859564685;27.552680172921562
LT;diff;SA;Interval;28.60196175021008;10.360365736832883;21.823477318174014;22.389583186465305;25.60196175021008
LT;diff;SA;Intensity;18.35723912783408;7.875615499059879;15.436584270186955;15.110763135654242;16.85723912783408
