resp_var_type;stratum;init2;profile;nat_haz;n_trees;learning_rate;deviance.mean;deviance.se;correlation.mean;correlation.se
abs;HM;LT;IP;A;1050;0.003;0.0048233546839268155;6.50958277017633e-4;0.6144141175445832;0.035811025494108376
abs;HM;LT;IP;LED;1050;0.003;0.004178676809219264;5.036134368850791e-4;0.5909144545005659;0.040472588482615535
abs;SA;ST: young;MP;A;1050;0.01;8.502726305808622e-4;8.24131097861439e-5;0.8053622852611964;0.029478688077716066
abs;SA;ST: young;MP;LED;1000;0.005;7.768024185676969e-4;6.672241198651493e-5;0.8767184723184809;0.01731232561868823
abs;SA;ST: young;IP;A;1600;0.1;4.6128371102766193e-4;4.4277282437071435e-5;0.9316899645856406;0.00497580362853207
abs;SA;ST: young;IP;LED;2250;0.02;1.9399123109066133e-4;1.822946799610746e-5;0.8880123064643058;0.011892049923225968
abs;SA;ST: structured;MP;A;2300;0.01;6.627390933434301e-4;7.605307744763775e-5;0.7274438221776213;0.04780673438726573
abs;SA;ST: structured;MP;LED;2550;0.007;0.001088477930073394;1.3635964779012486e-4;0.7070054820151742;0.0785733918496821
abs;SA;ST: structured;IP;A;1150;0.01;6.795627847605885e-4;6.819647053364198e-5;0.9165251057919701;0.007802444119090124
abs;SA;ST: structured;IP;LED;1150;0.01;6.795627847605885e-4;6.819647053364198e-5;0.9165251057919701;0.007802444119090124
abs;SA;ST: mature;MP;A;1000;0.01;2.701639820500238e-4;3.736091967307211e-5;0.718367953013321;0.01902947365245031
abs;SA;ST: mature;MP;LED;1000;0.007;3.3403140037956884e-4;3.7698942140654606e-5;0.6844018918844983;0.03296683944938507
abs;SA;ST: mature;IP;A;1400;0.01;1.6200836812019207e-4;1.3641739113221649e-5;0.8794355148753913;0.012776529100369161
abs;SA;ST: mature;IP;LED;1400;0.01;1.6156971991179863e-4;1.3586664491146157e-5;0.8783758526814979;0.012738064059433228
abs;SA;LT;MP;A;1450;0.01;0.0012443986766374432;1.4087552756096412e-4;0.7558339898786874;0.03226252549638566
abs;SA;LT;MP;LED;1400;0.01;0.0019416247054455987;1.793085349504602e-4;0.7183301366198303;0.019673258667289254
abs;SA;LT;IP;A;1100;0.01;0.0014649826764058713;1.2867924313171854e-4;0.7466952234050582;0.026334546144844984
abs;SA;LT;IP;LED;1150;0.01;0.0014452626401229925;1.279897049741237e-4;0.7488561766909266;0.026536677735446445
diff;UM;ST: young;MP;A;1100;0.01;0.0015726698627694913;1.9479953247485168e-4;0.7777036218054444;0.037453034358743996
diff;UM;ST: young;MP;LED;2350;0.005;0.0018580117736448545;2.782711966407074e-4;0.7270057505170502;0.03754292235854671
diff;UM;ST: young;IP;A;1400;0.007;0.0016166064050876924;2.9873228670529016e-4;0.8240484122382554;0.031541205863052285
diff;UM;ST: young;IP;LED;1250;0.01;0.0012060754529117912;2.297545282429617e-4;0.706951274179349;0.06216023443405006
diff;UM;ST: structured;MP;A;2050;0.01;0.002701318971576356;2.8203809208868273e-4;0.8611982094311608;0.013442058255182186
diff;UM;ST: structured;MP;LED;1150;0.01;0.0030702261273308665;1.9380139484005045e-4;0.7479399290240071;0.047619884089426655
diff;UM;ST: structured;IP;A;1850;0.007;0.0017065898245000317;2.2507301675026413e-4;0.7369691631937487;0.034746182310758975
diff;UM;ST: structured;IP;LED;1800;0.01;0.0014268181393271668;2.7249121263504166e-4;0.7271435145956336;0.03369995585333799
diff;UM;ST: mature;MP;A;1550;0.01;0.0027926156775102094;2.6003399895468764e-4;0.7101706829982337;0.025404425440975407
diff;UM;ST: mature;MP;LED;1750;0.01;0.002337173927691264;1.9477570965493833e-4;0.7607802144747575;0.02241165406444626
diff;UM;ST: mature;IP;A;1300;0.1;0.001676041780153576;1.4691734938904896e-4;0.7507779689418138;0.026889527695126623
diff;UM;ST: mature;IP;LED;2250;0.007;0.0019257120246800664;1.2415950825673375e-4;0.6942347060441062;0.039626769050869357
diff;UM;LT;MP;A;1350;0.01;0.005885321861342269;4.903814179890151e-4;0.696578784912161;0.043461080504995864
diff;UM;LT;MP;LED;1400;0.008;0.005680702085365171;4.981061759666459e-4;0.6839876554044193;0.047625404149977284
diff;UM;LT;IP;A;1900;0.003;0.004126581346387343;4.8540496979305304e-4;0.6312844249414826;0.041814425880649854
diff;UM;LT;IP;LED;1000;0.009;0.0033797941261842416;3.37231031260781e-4;0.60604877524493;0.035552740190455706
diff;HM;ST: young;MP;A;2150;0.1;4.511680670020604e-4;5.0774899684078124e-5;0.9475602232505491;0.005481984960744059
diff;HM;ST: young;MP;LED;1450;0.01;8.369394386876874e-4;2.682677789201255e-4;0.9058797387633717;0.014689113972142254
diff;HM;ST: young;IP;A;1350;0.01;0.002119257663973021;1.8930129176690535e-4;0.6262919409694342;0.05778263101431382
diff;HM;ST: young;IP;LED;1250;0.008;0.0018091817012950407;1.4971327589188366e-4;0.6028410070530609;0.060176277737258005
diff;HM;ST: structured;MP;A;1350;0.007;0.0010933029288231974;1.6726095116228305e-4;0.9453529699103649;0.009334024516271919
diff;HM;ST: structured;MP;LED;1000;0.01;0.0013469396666887707;1.4516833294330177e-4;0.9295092105319656;0.009137744320234273
diff;HM;ST: structured;IP;A;2650;0.03;0.002158986267814911;1.950361045694668e-4;0.812398993906103;0.01925726678335679
diff;HM;ST: structured;IP;LED;1550;0.01;0.001749310313227892;2.4388185310309678e-4;0.7256105033341425;0.036466289891800736
diff;HM;ST: mature;MP;A;1600;0.01;8.546024645785269e-4;6.990130437776088e-5;0.9589912909746854;0.005869325092837899
diff;HM;ST: mature;MP;LED;3450;0.1;0.001109737053731616;1.0370425929781017e-4;0.9280902530552206;0.00908326276531196
diff;HM;ST: mature;IP;A;1350;0.01;0.0025326219296966917;3.0946596387767053e-4;0.9305574794006864;0.011248789855024236
diff;HM;ST: mature;IP;LED;1150;0.01;0.0020316240016540615;2.1099352304965237e-4;0.9346304686006386;0.009268490011774051
diff;HM;LT;MP;A;1300;0.005;0.002304575109116863;1.803179998643026e-4;0.8348148060004329;0.022823892030533532
diff;HM;LT;MP;LED;1400;0.007;0.002667226701327766;3.0572340683513057e-4;0.8658959503974104;0.017975746793639245
diff;HM;LT;IP;A;1250;0.003;0.0048432538747861945;6.385198267739635e-4;0.7502925834694528;0.02036540693106333
diff;HM;LT;IP;LED;1050;0.003;0.004178099831522139;5.056730719748945e-4;0.5884063974802978;0.04079022659977087
diff;SA;ST: young;MP;A;1800;0.007;8.534994226290896e-4;7.91849743631597e-5;0.7811921236780551;0.03830612638806455
diff;SA;ST: young;MP;LED;1000;0.005;8.054791876097185e-4;7.643061125574331e-5;0.8669425275758738;0.019657043598403427
