resp_var_type;simtype;pr2_MP_A;pr2_MP_LED;pr2_IP_A;pr2_IP_LED
abs;LT;0.47840022967792206;0.477839489374102;0.6668043814900028;0.7086147539797741
abs;ST;0.6434199600781197;0.5762630680644519;0.7551187815296088;0.7574848960677876
diff;LT;0.6025792621699723;0.5182942480809033;0.5092650818362114;0.5795627840537365
diff;ST;0.4057938791286968;0.492677257868422;0.1589538111133507;0.09728401473781882
